run,prob_id,algo_id,seed,final_return,final_return_50ep,auc,time_to_threshold,time_elapsed_s,total_timesteps,sec_per_1k_steps
logs/R+L2-DAlpha-1,R+L2,DAlpha,1,26.171066,18.77849769592285,5224397.824406624,45000.0,2242.0,300000.0,7.473333333333334
logs/R+L2-DAlpha-2,R+L2,DAlpha,2,13.533908,14.081172943115234,1314257.507622242,25000.0,2254.0,300000.0,7.513333333333334
logs/R+L2-DAlpha-3,R+L2,DAlpha,3,25.08974,20.999526977539062,5230968.47653389,30000.0,2251.0,300000.0,7.503333333333333
logs/R+L2-DAlpha-4,R+L2,DAlpha,4,20.815485,20.44883155822754,5484778.834581375,20000.0,2263.0,300000.0,7.543333333333333
logs/R+L2-DAlpha-5,R+L2,DAlpha,5,24.478428,18.18212890625,5640013.561248779,25000.0,2286.0,300000.0,7.62
logs/R+L2-DRad-1,R+L2,DRad,1,26.088207,18.707050323486328,5215528.66101265,55000.0,2278.0,300000.0,7.593333333333334
logs/R+L2-DRad-2,R+L2,DRad,2,21.661486,17.899389266967773,5629491.219520569,25000.0,2394.0,300000.0,7.98
logs/R+L2-DRad-3,R+L2,DRad,3,24.798117,20.644315719604492,5161121.037006378,30000.0,2232.0,300000.0,7.44
logs/R+L2-DRad-4,R+L2,DRad,4,19.765852,20.00729751586914,5492957.413196564,20000.0,2291.0,300000.0,7.636666666666667
logs/R+L2-DRad-5,R+L2,DRad,5,24.227758,17.922658920288086,5593328.633308411,30000.0,2258.0,300000.0,7.526666666666666
logs/R+L2-SAlpha-1,R+L2,SAlpha,1,26.286182,18.738285064697266,5236936.647295952,55000.0,6684.0,300000.0,22.28
logs/R+L2-SAlpha-2,R+L2,SAlpha,2,21.400629,16.846656799316406,5605763.821601868,25000.0,6636.0,300000.0,22.12
logs/R+L2-SAlpha-3,R+L2,SAlpha,3,24.848362,20.586898803710938,5168101.811408997,25000.0,6560.0,300000.0,21.866666666666667
logs/R+L2-SAlpha-4,R+L2,SAlpha,4,20.84721,19.9271297454834,5380213.260650635,20000.0,6626.0,300000.0,22.086666666666666
logs/R+L2-SAlpha-5,R+L2,SAlpha,5,24.417496,17.462505340576172,5513378.729820251,25000.0,6587.0,300000.0,21.956666666666667
logs/R+L2-SRad-1,R+L2,SRad,1,23.327305,16.002450942993164,3946456.3877880573,55000.0,6454.0,300000.0,21.513333333333332
logs/R+L2-SRad-2,R+L2,SRad,2,18.417938,14.573101997375488,3863385.32269001,80000.0,6245.0,300000.0,20.816666666666666
logs/R+L2-SRad-3,R+L2,SRad,3,20.615492,16.146038055419922,3781901.9252061844,100000.0,6210.0,300000.0,20.7
logs/R+L2-SRad-4,R+L2,SRad,4,14.530139,17.392318725585938,3948221.2817668915,60000.0,6264.0,300000.0,20.88
logs/R+L2-SRad-5,R+L2,SRad,5,24.032278,16.706663131713867,4018907.5934886932,55000.0,6169.0,300000.0,20.563333333333333
logs/R+N-DAlpha-1,R+N,DAlpha,1,24.245642,17.754636764526367,4788214.528560638,55000.0,7.0,600.0,11.666666666666668
logs/R+N-DAlpha-2,R+N,DAlpha,2,19.364552,16.62476921081543,5112474.870681763,60000.0,5938.0,300000.0,19.793333333333333
logs/R+N-DAlpha-3,R+N,DAlpha,3,22.088148,19.57139778137207,4547662.868499756,30000.0,5873.0,300000.0,19.576666666666668
logs/R+N-DAlpha-4,R+N,DAlpha,4,16.407177,19.2788028717041,4995641.450881958,20000.0,5934.0,300000.0,19.78
logs/R+N-DAlpha-5,R+N,DAlpha,5,21.16869,18.199525833129883,5005613.392591476,40000.0,5785.0,300000.0,19.283333333333335
logs/R+N-DRad-1,R+N,DRad,1,24.987589,17.548669815063477,4718350.888490677,55000.0,5841.0,300000.0,19.47
logs/R+N-DRad-2,R+N,DRad,2,19.594799,16.56511116027832,4757492.263317108,65000.0,5916.0,300000.0,19.72
