prob_id,algo_id,n_seeds,final_mean,final_std,final_se,final50_mean,final50_std,final50_se,auc_mean,auc_std,auc_se,time_to_threshold_mean,time_to_threshold_std,runtime_s_mean,runtime_s_std,sec_per_1k_mean,sec_per_1k_std,total_timesteps_median
R+L2,DAlpha,5,22.017725,5.1517744,2.3039435555056107,18.498031616210938,2.7271870003104146,1.2196351040095654,4578883.240878582,1833461.8753771244,819949.0774994995,29000.0,9617.692030835673,2259.2,16.754103974847474,7.530666666666667,0.05584701324949157,300000.0
R+L2,DRad,5,23.308285,2.552145,1.1413539435979427,19.036142349243164,1.2419458950413802,0.555415089137869,5418485.392808914,216833.77625172198,96971.01270336598,32000.0,13509.256086106296,2290.6,61.94190826895794,7.6353333333333335,0.20647302756319322,300000.0
R+L2,SAlpha,5,23.559977,2.3371649,1.0452119087445921,18.712295150756837,1.5837628019874637,0.7082802570959015,5380878.8541555405,183114.26588662234,81891.18923449167,30000.0,14142.13562373095,6618.6,47.61092311644462,22.062000000000005,0.15870307705481562,300000.0
R+L2,SRad,5,20.18463,3.8717215,1.7314864955258895,16.164114570617677,1.0441057518927368,0.4669382873861378,3911774.5021879673,91127.79368348159,40753.58826316816,70000.0,19685.01968502953,6268.4,109.89221992479722,20.894666666666666,0.36630739974932375,300000.0
R+N,DAlpha,5,20.65484,2.954647,1.3213583370182949,18.28582649230957,1.192415327432019,0.5332643459101328,4889921.422243118,224486.41590497864,100393.37719776444,41000.0,16733.20053068151,4707.4,2628.332608327949,18.02,3.557610777536582,300000.0
R+N,DRad,5,21.911726,2.6607196,1.1899099937370607,17.629798889160156,0.9122047033281573,0.4079503452073576,4663331.645131111,229768.93002958896,102755.78933271073,67000.0,18907.670401189036,5853.2,53.0725917965196,19.510666666666665,0.17690863932173187,300000.0
R+N,SAlpha,5,22.422192,2.092624,0.9358498802843752,18.210136032104494,1.3702864048723773,0.6128107099876869,4981138.785123825,255556.40151866231,114288.29717619187,42000.0,15247.950681976907,10529.6,86.96723520958913,35.09866666666667,0.28989078403196494,300000.0
R+N,SRad,5,22.817982,2.0133774,0.9004097586988492,19.209388732910156,1.0708661130117831,0.4789058846990638,5230639.487504959,252429.71261920247,112889.99939145464,33000.0,12549.900398011134,10135.6,261.3049942117448,33.785333333333334,0.8710166473724841,300000.0
R+T,DAlpha,5,22.166004,1.8542453,0.8292437098153983,18.593126678466795,1.5014686777699036,0.6714772059160463,4478191.0572052,1188496.9471876263,531511.9929925019,56000.0,30700.1628660175,2380.2,10.940749517286282,7.934,0.03646916505762095,300000.0
R+T,DRad,5,21.552029,2.09366,0.9363132683187292,18.658330535888673,1.2380266737904213,0.5536623601106678,4694680.762082338,230101.2764984011,102904.41919197992,59000.0,19811.61275615895,2352.6,9.96493853468249,7.8420000000000005,0.03321646178227472,300000.0
R+T,SAlpha,5,21.9798,2.5015802,1.118740692820695,18.164957809448243,0.736901827218476,0.3295525156808634,4782576.670408249,316199.203936432,141408.5828866362,60000.0,6123.724356957945,6881.6,243.34810457449635,22.938666666666666,0.8111603485816539,300000.0
R+T,SRad,5,0.24141362,1.4827144,0.6630900444513418,,,,-141756.38654083014,131570.64141992893,58840.1796116421,,,2150.4,15.17563837207516,18.962962962962962,0.13382397153505507,113400.0
